Frame,X,Y,Visibility,L,Theta,score
152,657,43,1,0.5,0.0,0.5348027944564819
153,0,0,0,-inf,-inf,0.17969171702861786
154,0,0,0,-inf,-inf,0.2874716520309448
155,665,31,1,1.0,90.0,0.43822699785232544
156,665,33,1,1.6408134698867798,-9.217474412646512,0.5643909573554993
157,665,33,1,1.573854960501194,-77.06682160291463,0.5407493710517883
158,0,0,0,-inf,-inf,0.4676971137523651
159,0,0,0,-inf,-inf,0.3093356192111969
160,662,264,1,2.6192563101649284,4.91196586164458,0.7041637301445007
161,663,261,1,2.4549683779478073,63.03800577788952,0.5476452112197876
162,663,258,1,2.9112129509449005,34.06259074170028,0.6453866362571716
163,0,0,0,-inf,-inf,0.3007117509841919
164,0,0,0,-inf,-inf,0.2387549728155136
165,665,39,1,0.0,0.0,0.40602734684944153
166,666,41,1,3.082374207675457,-5.527540151704142,0.8095276951789856
167,669,40,1,3.0389660224318504,-11.74585933290692,0.713106095790863
168,669,39,1,2.8284270763397217,-45.000000000530434,0.68684983253479
169,661,116,1,1.0,0.0,0.6015384197235107
170,0,0,0,-inf,-inf,0.5240375399589539
171,0,0,0,-inf,-inf,0.37016192078590393
172,674,40,1,3.5193484406918287,-1.148977827684375,0.8963971138000488
173,0,0,0,-inf,-inf,0.38400211930274963
174,0,0,0,-inf,-inf,0.3647552728652954
175,156,75,1,0.5,0.0,0.5312090516090393
176,197,54,1,2.2018543481826782,-36.60081410937852,0.5399370789527893
177,0,0,0,-inf,-inf,0.3938550055027008
178,0,0,0,-inf,-inf,0.39971262216567993
179,661,245,1,0.0,0.0,0.40897008776664734
180,0,0,0,-inf,-inf,0.4242938756942749
181,689,34,1,1.117603451013565,28.15496623705896,0.4264608323574066
182,688,38,1,4.924297869205475,-24.380065397269657,0.8140676617622375
183,881,76,1,2.545817583799362,-81.77401165822576,0.7377244830131531
184,882,72,1,0.7071067690849304,-44.99999999667797,0.5504576563835144
185,0,0,0,-inf,-inf,0.505318820476532
186,105,56,1,5.051106289029121,-3.449180694017455,0.5774534940719604
187,0,0,0,-inf,-inf,0.6559367179870605
188,884,78,1,2.213594287633896,71.5650511768461,0.603325605392456
189,883,78,1,2.658357858657837,77.34355809911428,0.6095247864723206
190,695,43,1,4.741817951202393,-19.92241834219392,0.8146681189537048
191,0,0,0,-inf,-inf,0.17496326565742493
192,0,0,0,-inf,-inf,0.23835372924804688
